id,lat,long,code
14495827,52.630629,1.301738,47789
14538939,53.79857,-1.55206,74909
17410355,53.39952,-2.99016,56101
17425663,51.664671,-0.27901,43330
17479230,52.45831,-1.83887,85100
17497359,50.470835,-3.538233,43210
17519570,51.72084,0.49334,81300
17549029,52.23419,0.08613,62020
17592891,51.455721,-2.559219,86101
17618832,53.6468,-1.53763,43210
17619453,51.49002,0.29554,62020
17624770,51.51451,0.0,61900
17639487,51.60002,-2.980819,43210
17641060,51.410773,-0.835091,62020
17645255,51.683317,-0.312147,62020
17646168,50.84138,-0.153549,43210
17650357,51.517257,-0.091353,74909
17651823,53.777676,-2.732665,45200
17780010,51.60635,0.07822,62020
17787097,53.638728,-1.750159,74909
17791044,51.6944,-4.92938,46770
17791369,51.572491,-0.139423,62020
17792184,55.93911,-3.17991,56101
17795171,51.47511,-3.40096,46770
17795633,51.67182,-1.28414,45200
17801285,51.5124,-3.15287,66190
17811553,50.37329,-4.14495,62020
17820952,51.41442,0.01967,56101
17827082,51.53426,0.06246,47789
17827211,53.395115,-2.971535,62020
17833637,52.575136,-2.086006,74909
17834991,55.882713,-3.488215,45200
17841135,55.8096,-4.35487,71121
17842329,51.47399,0.02383,64205
17842730,51.87617,0.56583,81300
17845075,51.52105,-0.10865,74909
17846559,51.523187,-0.715913,56101
17849149,51.44968,-0.95143,87200
17849882,53.36797,-1.47596,56101
17850530,51.03844,-3.19154,62020
17857209,51.564192,0.082626,62020
17861559,52.375206,-2.316838,45200
17890387,52.601896,-2.103338,47110
18197731,51.82989,-2.27449,56101
18203669,53.41236,-2.16697,74909
18273503,51.26904,-1.07887,62020
18339160,51.49659,-0.5422,53100
18385177,53.40621,-2.20399,47110
18392908,50.868054,-1.251474,43210
18398695,51.5134,0.0,62020
18403460,52.53386,-1.433,62020
18409773,52.05637,-2.71755,47110
18414123,51.27129,-1.04553,62020
18421490,53.3796,-1.46261,71121
18436447,51.52724,0.0,62020
18441740,51.373173,0.578129,88990
18458801,51.62901,-0.77224,88990
18482970,51.552554,-1.785804,62020
18573673,54.964941,-1.559079,47110
18628937,51.59094,-3.00744,43330
18633477,50.84984,-0.99112,45200
18633500,51.831681,1.245265,56101
18635959,56.64457,-2.88522,45200
18636923,51.214,0.11403,88910
18643739,51.54905,0.0,47110
18658124,51.49462,0.126888,47110
18669996,52.50224,-1.90099,56101
18672601,56.49479,-2.73972,45200
18674089,53.768532,-1.735815,45200
18674869,51.53042,0.0,74909
18683705,51.590479,0.045534,81221
18694015,51.60762,-2.52608,56101
18704354,51.74612,-0.97234,74909
18759812,51.494292,0.321048,58120
18811867,51.51154,-0.31534,87300
18835275,52.79041,-0.17547,62020
18861709,53.36139,-2.55391,43210
18950282,53.480082,-2.235707,47782
19096365,53.40128,-2.15861,43210
19156891,51.55462,-0.6153,87200
19158463,55.605263,-4.493281,74909
19214307,56.04713,-3.41711,81300
20112024,51.526502,-2.531211,62020
20118115,50.87705,-1.2432,47782
20125871,51.667747,-4.05485,43210
20125907,51.69842,-0.37387,61900
20147207,51.612585,-1.827693,62020
20153909,51.496074,-0.143059,64205
20154228,52.79824,-0.15489,87300
20154496,52.95042,-1.16348,74909
20154911,51.62261,-3.954,47110
20155223,51.490491,-0.162961,88910
20155299,51.471217,0.175843,45200
20155408,53.398306,-2.895045,43210
20155702,55.834815,-4.371382,88990
20157402,51.610354,-4.282509,62020
20175404,52.617072,-1.985714,43210
20189930,51.531429,-0.101339,74909
20191767,51.36268,-0.19133,43210
20268125,51.53879,0.0,61900
20366437,52.065081,-0.773223,62020
20444844,50.91835,-0.99904,80200
20833765,53.7945,-2.89801,47110
21101161,51.577032,0.033727,47110
21101335,51.665755,-0.39127,45200
00125864,52.25956,-1.88987,01500
00838821,53.55242,-2.29658,55100
01943708,51.50856,-0.12762,47789
02301310,51.18536,-0.61718,62020
02498974,50.95999,0.31904,62020
02661186,51.52132,-0.14325,87300
02869516,53.96072,-1.082358,56101
02886292,52.461716,-2.164488,87300
03035703,53.42505,-2.31541,80200
03308594,51.520202,-0.190024,88990
03468165,53.47557,-2.8569,45200
03473493,51.518548,-0.100208,56101
03548473,53.25953,-2.48977,74909
03613936,50.82667,-4.53708,85100
03757325,51.65985,-0.397198,62020
03903714,51.41432,0.0,62020
03921660,51.40378,-1.25225,80200
03941648,54.286239,-1.59436,47789
03995288,53.41018,-2.99328,55100
03998483,50.87631,-1.32922,45200
04055651,51.530488,-0.11706,55100
04080071,51.48906,0.0,43330
04081961,51.16591,-2.07874,74909
04140171,52.54858,-1.841527,88990
04140315,51.59491,-0.54558,71121
04140430,53.2619,-2.12568,81300
04149358,51.597544,0.077765,62020
04216089,51.5329,0.0,85100
04476265,53.6539,0.07294,43210
04486528,52.41756,-4.08244,56101
04488079,51.53609,-3.34168,45200
04687211,52.0551,-2.71208,01500
04807866,53.43339,-2.41795,56101
04925175,51.04375,-1.347,62020
04943149,51.04406,0.0,81300
20057669,52.669513,-0.729102,47782
20059429,51.51468,-0.12361,64205
20066341,52.050867,1.212315,86101
20066400,51.41386,-0.30065,55100
20071612,52.98563,-2.13241,88990
20074531,52.463921,-1.774463,45200
20074627,51.79321,-0.66427,62020
20075589,51.53071,0.04086,56101
20076286,51.52549,0.0,74909
20076417,51.55759,0.07109,62020
20079968,51.616037,-3.448544,75000
20080904,54.09303,-2.66222,55100
20081833,52.91168,-1.03201,81300
20083849,53.39977,-0.77237,45200
20083942,50.841732,0.469589,56101
20084783,51.654797,0.064891,43210
20085539,51.566027,0.524178,53100
20086225,51.51468,-0.12361,74909
20086614,51.50106,0.0,55100
20086689,50.721997,-1.889909,74909
20087265,52.334856,-0.188574,56101
20088317,51.519128,-0.11827,55100
20088684,51.760101,-0.46754,62020
20090977,53.44351,-2.97038,56101
20091854,51.371572,-0.227787,56101
20092206,53.44966,-2.52607,55100
20093681,53.158974,0.248185,47110
20093860,50.719548,-1.885135,47110
20094484,53.7657,-2.6643,74909
20096681,54.93558,-1.62198,62020
20096751,52.58202,-2.13115,43210
20097607,52.060672,-1.337419,56101
20097976,50.71509,-3.47851,80200
20098004,51.47891,0.06459,87200
20100591,52.48331,-0.69539,45200
20100950,55.8709,-4.313542,66190
20103041,51.38365,0.521534,88990
20103303,53.38118,-2.59877,62020
20104153,52.776,-1.20231,45200
20104292,53.079437,-0.808218,01500
20104404,50.86761,-1.27077,43210
20105044,52.084151,-0.265294,61900
20106580,50.74552,-1.82073,62020
20110294,52.20294,-0.29543,27900
20111407,51.65908,-0.39697,62020
20112738,52.430335,-1.498279,47110
20112911,51.60272,-0.19179,64205
20114360,51.56365,0.1326,45200
20114637,53.526191,-0.823169,56101
20115224,51.51468,-0.12361,46180
20115515,52.170088,-1.214931,88910
20115749,51.596046,-0.198818,56101
20115776,51.53042,0.0,66190
20116479,52.172317,-1.21229,75000
20117640,51.48747,0.35066,43210
20118752,52.62792,-1.14985,71121
20118908,53.39763,-2.91678,45200
20140113,52.292377,-1.927641,46180
20142400,53.69505,-2.69555,43210
20142686,51.57439,-0.36619,62020
20144266,52.79842,-1.60789,74901
20146135,53.768458,-1.560827,47110
20146140,51.369754,0.507795,61900
